Title,Description,Video_link
Consent in First Aid,"Helping keep people healthy well into old age? Providing high-quality, affordable healthcare for ever more people around the world? That�s what healthcare companies are working for. You can learn more in our new explanatory video.",https://www.youtube.com/watch?v=y87GOK1EVxQ
Explanatory video: Healthcare market,"Lifesaver dialysis: More than 3 million people worldwide need to regularly undergo this vital blood-cleansing procedure. When kidneys fail, dialysis takes over and performs their most important functions, removing waste products, toxins, and excessive salt and fluids from the patient�s body.",https://www.youtube.com/watch?v=pc1jlelzmPY
Explanatory video: How does Dialysis work?,A sufficient and varied diet is essential to a healthy life. But what happens when the normal intake of food is no longer possible?,https://www.youtube.com/watch?v=gRoleVEwR8c
Explanatory video: Nutrition therapy,"Ava Hearts Biology presents: Biology Dissection for GCSE and A Level. 
For workshops, demonstrations and revision seminars as well as one to one and group tuition please visit www.avaheartsbiology.co.uk 

Search @ava_hearts_biology on Instagram for more Biology

Please note:The animal material used in this dissection has not been produced for the purpose of the video � it is a regular by-product of the meat industry, available for consumption from some butchers, or part of the waste stream if not used for dissection.

This video is for educational and demonstration purposes only. If you undertake your own dissection please take due safety precautions: 
- Take care with sharp dissecting tools.
- Observe careful hygiene precautions after the dissection.",https://www.youtube.com/watch?v=iquXp1Icztk
Heart Dissection GCSE A Level Biology NEET Practical Skills,"Ava Hearts Biology presents: Kidney Dissection for GCSE and A Level. Ever wondered what our excretory system looks like? For workshops, demonstrations and revision seminars as well as one to one and group tuition please visit www.avaheartsbiology.co.uk Search @ava_hearts_biology on Instagram for more Biology Please note:The animal material used in this dissection has not been produced for the purpose of the video � it is a regular by-product of the meat industry, available for consumption from some butchers, or part of the waste stream if not used for dissection. This video is for educational and demonstration purposes only. If you undertake your own dissection please take due safety precautions: - Take care with sharp dissecting tools. - Observe careful hygiene precautions after the dissection. Search @ava_hearts_biology on Instagram for more Biology",https://www.youtube.com/watch?v=WBwPhWAP394
Kidney Excretory System Dissection GCSE A Level Biology NEET Practical Skills,"This 3D animation was designed to share life-saving information with the general public to demonstrate the importance of good, effective CPR! 

Effective compressions create an artificial pump and send oxygenated blood to the brain to keep the brain alive. CPR also keeps blood and oxygen moving through the heart muscle itself so that it has the best chance of being successfully defibrillated when the AED arrives. 

After a Sudden Cardiac Arrest, brain damage will start to set in within 4 minutes and is irreversible after 10 minutes. CPR is the person�s only chance of survival while waiting for an automated external defibrillator to arrive. 

Action First Aid is committed to widespread access, awareness and public education about when and how to use an AED and perform effective CPR. Please share this video with all of your loved ones and friends as together we truly have the power to save more lives!  Learn more at https://www.actionfirstaid.ca/",https://www.youtube.com/watch?v=lDde-V_UXAI
CPR in Action | A 3D look inside the body,"http://www.amerra.com  In this patient education video for Colorectal Surgical Associates in Houston, Texas, learn more about CSA's laparoscopic surgical procedure to remove colorectal cancer. Colorectal cancer is the second leading cause of cancer death in the United States. For more information please visit our website: www.csamd.com or call (713)-790-0600.",https://www.youtube.com/watch?v=DUaxt8OlT3o&ab_channel=ActionFirstAid
Colorectal Cancer Surgery 3D Medical Animation - Laparoscopic Procedure,"For Employees of Hospitals, Schools, Universities and Libraries: Download 8 FREE medical animations from Nucleus by signing up for a free trial:  http://nmal.nucleusmedicalmedia.com/f...

Biology students: Subscribe to the Nucleus Biology channel to see new animations on biology and other science topics, plus short quizzes to ace your next exam: https://bit.ly/3lH1CzV

#HeartAttack #MyocardialInfarction #Cardiomyopathy

A heart attack is a condition caused by a blockage of blood flow to your heart muscle. The different ways the blood flow may become blocked in the arteries that supply blood to your heart muscle, and the treatments for a heart attack, are explained.",https://www.youtube.com/watch?v=85KvDJTIuxg&ab_channel=AmerraMedical
About Your Heart Attack | Nucleus Health,"For more on the basics of ventilation, take the free BMJ Learning module: http://bit.ly/LungDeadspace. 

The COVID-19 pandemic has meant that many healthcare professionals have been redeployed to work in unfamiliar environments, such as the intensive care unit (ICU). Mechanical ventilation is a key part of treatment in intensive care, and an unfamiliarity with it led to considerable concern among many health professionals. This module aims to provide a brief introduction to mechanical ventilation, outlining the basic principles and settings that are likely to be used.",https://www.youtube.com/watch?v=zEzDcElrYgs&ab_channel=NucleusMedicalMedia
Basics of ventilation: Deadspace in breathing,Medical Training Nasogastric Intubation,https://www.youtube.com/watch?v=2BIiLqJuJJY&ab_channel=BMJLearning
Medical Training Nasogastric Intubation,"The Central TB Division of the Government of India, together with support from the Indian Academy of Pediatrics and FIND, has developed training materials in the form of four videos, three on sample collection (gastric lavage, induced sputum, lymph node aspiration), and one on how to perform tuberculin skin testing. This project was supported by USAID through Challenge TB.",https://www.youtube.com/watch?v=rzhLZtThTOo&ab_channel=SIMTICS
Sample collection: Gastric lavage training video,"Have you ever wondered how to master Facial Anatomy?

Dr. Tim Pearce and Miranda Pearce discuss how important Facial Anatomy is to developing your skills as an injector. Along with what methods you can use to learn more:

19:35 Can anatomy be as simple as paint by numbers?

24:09 What level of anatomical knowledge do I need to inject?

25:09 How to get accelerate your anatomy knowledge?

29:38 What is the next step in learning facial anatomy if I know the basics?

40:24 Advice for practitioners scared of fillers & complications!

49:05 Top tip for building up facial anatomy knowledge.

50:40 ""Help! There are so many contradicting anatomy theories. Who do i trust?""

To listen to other Aesthetics Mastery podcasts, head to: https://soundcloud.com/aesthetics-mas... 
or search for us on your Apple device.",https://www.youtube.com/watch?v=tP8SXuK2veI&ab_channel=FIND%2Ctheglobalalliancefordiagnostics
